n_estimators,max_depth,learning_rate,subsample,colsample_bytree,scale_pos_weight,gamma,accuracy,f1_score,recall,precision,roc_auc,cv_score,train_score,overfitting
300,3,0.01,0.6,0.6,1,0,0.7255926074728807,0.49556868537666177,0.3832095945174186,0.7011494252873564,0.7722782519068745,0.7263413570057976,0.7312135824794053,OK
300,3,0.01,0.6,0.6,1,1,0.7255926074728807,0.49556868537666177,0.3832095945174186,0.7011494252873564,0.7722747123826892,0.7262911183722884,0.7312135824794053,OK
300,3,0.01,0.6,0.6,2,0,0.6856167135395741,0.6176398729538236,0.7218732153055397,0.5397096498719044,0.7715032730865021,0.6870103231434196,0.689019489652401,OK
300,3,0.01,0.6,0.6,2,1,0.6856167135395741,0.6176398729538236,0.7218732153055397,0.5397096498719044,0.7715015033244097,0.6871108004104378,0.6890697207152904,OK
300,3,0.01,0.6,0.8,1,0,0.72840498192045,0.5161059413027916,0.4117647058823529,0.6912751677852349,0.7735976980350509,0.7248847394284075,0.7293048020896122,OK
300,3,0.01,0.6,0.8,1,1,0.72840498192045,0.5161059413027916,0.4117647058823529,0.6912751677852349,0.7735926542130869,0.7249349654454843,0.7293048020896122,OK
300,3,0.01,0.6,0.8,2,0,0.6711530735235034,0.6227241299838673,0.7715591090805254,0.5220247295208655,0.7728652819930069,0.6695805578759277,0.6719409282700421,OK
300,3,0.01,0.6,0.8,2,1,0.6709521896343913,0.6225806451612903,0.7715591090805254,0.5218230977211279,0.7728580259684271,0.6695805578759277,0.6719911593329315,OK
300,3,0.01,0.6,1.0,1,0,0.7296102852551225,0.5172166427546628,0.4117647058823529,0.695274831243973,0.7741857014903345,0.7256379909038045,0.729957805907173,OK
300,3,0.01,0.6,1.0,1,1,0.7294094013660104,0.5166846071044134,0.41119360365505425,0.694980694980695,0.7741757023345109,0.7256379909038045,0.7298573437813944,OK
300,3,0.01,0.6,1.0,2,0,0.668139815186822,0.624032771961766,0.7829811536264991,0.5187287173666288,0.7735806198308568,0.6615430073360768,0.668274060679124,OK
300,3,0.01,0.6,1.0,2,1,0.6679389312977099,0.6238907849829352,0.7829811536264991,0.5185325264750378,0.7735590287333264,0.6615430073360768,0.668274060679124,OK
300,3,0.01,0.8,0.6,1,0,0.7265970269184412,0.49499072356215207,0.38092518560822386,0.7065677966101694,0.7713862033240734,0.7259395867184798,0.7297066505927265,OK
300,3,0.01,0.8,0.6,1,1,0.7265970269184412,0.49499072356215207,0.38092518560822386,0.7065677966101694,0.7713760271920405,0.7259898001191243,0.7297568816556158,OK
