y_test;y_pred_proba
0;0,4214815
0;0,11611831
1;0,7152216
1;0,6803975
1;0,4494604
0;0,08682612
0;0,4541729
0;0,26399365
1;0,41314998
0;0,2991197
1;0,7177462
1;0,5294286
0;0,8596145
1;0,6420472
0;0,12979455
0;0,500901
0;0,12839337
0;0,11611831
0;0,29426298
1;0,5079807
0;0,50035197
1;0,5109857
0;0,32292575
0;0,16984881
0;0,45211476
1;0,86815065
1;0,7256638
1;0,52049303
0;0,80361015
0;0,6684055
0;0,20323707
0;0,59562284
0;0,5231142
0;0,2096555
1;0,8349501
0;0,3901331
0;0,3409545
1;0,65383786
0;0,14825855
0;0,37858498
1;0,7018864
0;0,80522215
0;0,13971515
1;0,28605777
1;0,6380324
1;0,92244226
0;0,74749315
0;0,20323707
1;0,6172923
1;0,7862326
0;0,47392547
0;0,15438068
0;0,81787544
0;0,571378
0;0,5079807
1;0,5976508
0;0,11866782
0;0,5543504
0;0,11611831
0;0,64756614
0;0,5197886
0;0,37352502
0;0,3901331
0;0,49038512
0;0,39443046
0;0,6785319
1;0,78505456
1;0,4465902
0;0,116664566
0;0,28039527
0;0,5648973
0;0,6825104
0;0,6902629
0;0,38487124
0;0,4772317
0;0,28688875
1;0,62729657
0;0,12839337
0;0,20772505
0;0,58160865
1;0,4707674
0;0,22710076
1;0,5171057
1;0,9503145
1;0,31540465
1;0,53298604
0;0,4661976
1;0,49252853
0;0,58799726
0;0,23509428
1;0,45011607
0;0,19228831
0;0,14864169
0;0,43037784
0;0,20904706
1;0,7076371
1;0,8319529
1;0,19727252
0;0,3901331
0;0,49174654
0;0,11611831
0;0,5486294
0;0,117265776
0;0,117265776
1;0,58076864
0;0,32930043
1;0,9126128
1;0,7211574
1;0,19244607
1;0,6660207
1;0,56304455
1;0,9565615
1;0,7988729
0;0,54196376
0;0,13971515
0;0,28361452
0;0,21962367
0;0,2936691
1;0,4541729
0;0,5121376
1;0,5178831
0;0,44635436
1;0,88064975
0;0,44335443
0;0,3436247
1;0,51365405
0;0,19763032
1;0,3944632
1;0,85630924
1;0,59522957
0;0,30988172
0;0,5599158
1;0,53314555
0;0,1698626
1;0,500901
0;0,43576515
1;0,6924476
0;0,44346687
0;0,69814855
1;0,14864169
0;0,53057384
1;0,8181934
0;0,43805182
0;0,61939394
0;0,53506047
0;0,18950132
0;0,49461913
1;0,6661562
1;0,4508987
1;0,5189591
0;0,2182948
0;0,14864169
1;0,90123624
0;0,4646721
0;0,14864169
1;0,3351594
1;0,6811254
1;0,69708
1;0,4238208
0;0,71363544
1;0,4987951
0;0,6768498
0;0,3350891
0;0,10957061
0;0,3030623
0;0,19228831
0;0,66171056
1;0,89847785
1;0,75027514
0;0,15438068
1;0,5503482
0;0,66351575
0;0,24036743
0;0,50204563
0;0,5806239
0;0,5698778
1;0,52453816
0;0,7252034
1;0,58612585
0;0,58852637
1;0,38336733
0;0,44751605
1;0,78683996
0;0,39498934
0;0,5171057
1;0,96408623
1;0,22756109
1;0,760107
0;0,6274592
1;0,37380883
0;0,5145088
0;0,44009838
1;0,7210315
0;0,68413144
1;0,45275903
0;0,29483855
1;0,6441205
1;0,94246536
0;0,54148024
0;0,6182231
0;0,11611831
0;0,57673115
0;0,19228831
0;0,11611831
0;0,11350967
0;0,5753708
0;0,5926545
0;0,12839337
0;0,28945857
0;0,49252853
0;0,70704055
0;0,43884757
1;0,13971515
1;0,38282555
0;0,14864169
1;0,5058106
0;0,41051212
0;0,49252853
1;0,6827244
0;0,53947484
0;0,75941175
0;0,5171057
0;0,43510345
1;0,955964
0;0,38556024
1;0,756797
0;0,38786113
1;0,7245843
0;0,11350967
0;0,31447297
0;0,45217946
0;0,55037373
0;0,3948713
0;0,29316482
0;0,15340893
0;0,74212044
0;0,55782735
0;0,13971515
0;0,3901331
0;0,6146545
0;0,5510809
1;0,56425846
0;0,66131616
1;0,33207878
0;0,5661078
1;0,6763866
0;0,32014713
0;0,5927419
0;0,45151612
0;0,4499661
0;0,19763032
1;0,7189525
0;0,53422123
0;0,45424303
0;0,57857865
1;0,4724089
0;0,6320921
1;0,53866327
0;0,3814598
0;0,29335096
0;0,53050464
0;0,21962367
0;0,45424303
0;0,7650816
1;0,7546465
1;0,9577271
0;0,45424303
0;0,16984881
0;0,18950132
0;0,19228831
0;0,20323707
0;0,47953296
0;0,44751605
1;0,52433974
1;0,6166181
0;0,13971515
0;0,11611831
0;0,7652907
0;0,13439763
0;0,3288865
1;0,96639645
0;0,3901331
0;0,3901331
0;0,28950208
0;0,19228831
0;0,11611831
0;0,503696
0;0,4772317
1;0,4724272
1;0,3960373
0;0,44677672
0;0,11611831
0;0,11350967
1;0,5996295
1;0,47266787
0;0,13927342
0;0,10957061
1;0,638963
0;0,4587134
0;0,7178797
0;0,49154386
0;0,23893549
1;0,11350967
1;0,4508987
0;0,324081
0;0,4053132
0;0,72112554
0;0,3901331
0;0,16984881
0;0,8812012
1;0,7234345
0;0,11611831
0;0,41160497
1;0,30277205
0;0,116664566
0;0,37574804
0;0,59065
0;0,15438068
0;0,11611831
0;0,116664566
1;0,943439
1;0,38799253
1;0,646862
1;0,6211517
1;0,2942334
0;0,51792204
0;0,71876913
1;0,60386425
1;0,44739988
0;0,11350967
1;0,83159834
1;0,9412637
1;0,8523223
0;0,50345266
1;0,53422123
0;0,77350575
1;0,6700014
1;0,5474572
1;0,6736386
0;0,5121376
0;0,6181332
0;0,12839337
0;0,61999124
0;0,20323707
1;0,8722773
0;0,53920287
1;0,5342013
0;0,2447894
0;0,39883822
0;0,3948713
1;0,63343245
1;0,6472291
0;0,72238564
0;0,7363918
0;0,42437214
0;0,60142756
0;0,47953296
0;0,42358556
1;0,5178212
0;0,3409545
1;0,5516704
1;0,6004126
0;0,59932876
1;0,6412603
0;0,6329176
0;0,33166468
1;0,685245
0;0,17358714
1;0,75001293
1;0,3495783
0;0,5617802
1;0,79111624
1;0,78511226
0;0,3409545
0;0,3901331
0;0,11611831
0;0,2750031
0;0,21003617
0;0,11611831
1;0,59755987
0;0,24756444
0;0,31447297
0;0,2767181
1;0,7656309
0;0,12839337
1;0,8237002
0;0,59904593
0;0,51099503
0;0,117265776
0;0,5331541
1;0,13971515
0;0,64176345
0;0,11567296
0;0,11611831
0;0,3093535
0;0,6308803
1;0,39106482
0;0,11611831
1;0,6754091
1;0,4772317
0;0,15340893
0;0,5108356
0;0,59772295
1;0,48851752
0;0,7933527
0;0,48012063
0;0,19244607
0;0,4772317
0;0,14864169
0;0,15438068
1;0,9425898
0;0,2609732
0;0,14864169
1;0,780683
0;0,677901
0;0,112660006
0;0,116664566
1;0,42824227
0;0,41231078
1;0,54468715
0;0,11866782
1;0,5931287
0;0,31499034
0;0,3211078
0;0,45217946
0;0,46843114
0;0,19228831
1;0,7083123
0;0,13458191
1;0,50246274
0;0,4683199
0;0,3061684
0;0,53782505
0;0,14864169
1;0,72786
0;0,1698626
0;0,14737062
0;0,15438068
0;0,43359268
0;0,12839337
0;0,78714806
1;0,58842534
1;0,81449074
1;0,35833588
0;0,61783177
0;0,56369835
0;0,49270073
0;0,72133017
1;0,19763032
0;0,38712946
1;0,53955853
0;0,3568447
0;0,5079807
0;0,37380883
0;0,37783745
0;0,60514367
0;0,49270073
0;0,21386454
0;0,5074026
1;0,9762431
0;0,19227758
1;0,62681466
0;0,6166474
0;0,41073433
0;0,4112924
1;0,9703719
0;0,31077683
1;0,5332101
1;0,65009916
0;0,20323707
0;0,3288865
0;0,697276
0;0,3288865
1;0,30622983
1;0,7471441
1;0,8172413
1;0,5671687
0;0,11611831
1;0,11611831
0;0,6102447
0;0,77255565
0;0,6043459
1;0,39179695
0;0,21386454
1;0,98006046
0;0,22627714
0;0,45217946
0;0,3350891
1;0,67017704
0;0,33733273
0;0,116664566
0;0,54555297
0;0,22671342
1;0,56648755
0;0,32977405
0;0,6551805
0;0,7306391
0;0,53422123
0;0,15340893
0;0,15905036
0;0,13971515
0;0,35833588
1;0,6176156
1;0,42820543
1;0,96844524
0;0,12839337
1;0,52749157
1;0,52960825
0;0,13971515
0;0,11611831
0;0,40482262
0;0,53579485
0;0,54651195
0;0,6472291
1;0,60999864
1;0,83448637
0;0,15438068
0;0,15340893
0;0,32277644
0;0,77495134
0;0,66832656
0;0,48644394
1;0,46766135
0;0,19244607
0;0,15438068
0;0,6088426
1;0,9617094
0;0,6074024
1;0,4314699
0;0,47324422
0;0,08588813
1;0,58852637
0;0,16255209
1;0,59503525
1;0,21386454
0;0,53536016
1;0,15438068
1;0,6842768
1;0,4799222
0;0,2487137
1;0,71043044
0;0,16953562
1;0,4200351
0;0,20440154
0;0,50823337
0;0,19763032
0;0,8363359
0;0,46223575
0;0,11350967
1;0,4772317
0;0,8036055
1;0,69425327
0;0,37886348
0;0,13439763
0;0,19228831
0;0,39179695
0;0,5335174
0;0,3288865
0;0,6763613
1;0,67471737
1;0,7093524
0;0,15438068
0;0,3901331
1;0,50318944
0;0,21386454
0;0,11611831
0;0,44167253
0;0,44739988
1;0,3350891
1;0,6764598
0;0,64066976
1;0,500901
0;0,7086202
0;0,49639612
0;0,13971515
0;0,47726467
0;0,5648973
0;0,67275697
0;0,3288865
0;0,6474981
0;0,16984881
0;0,56144905
1;0,44975302
0;0,50035197
1;0,7836929
0;0,14864169
0;0,5645921
0;0,43652195
0;0,15184076
0;0,33051717
1;0,39231676
0;0,3901331
0;0,5541427
0;0,2979893
1;0,7103258
0;0,19228831
0;0,11611831
0;0,7211374
0;0,53853536
0;0,70802087
1;0,4408699
0;0,54468715
0;0,4780181
0;0,39426786
0;0,44842204
1;0,70077264
1;0,74913895
0;0,116664566
0;0,15438068
0;0,13711134
0;0,31447297
0;0,36948863
0;0,20323707
1;0,62761325
1;0,9049531
1;0,4665229
0;0,66267973
0;0,53947484
0;0,3976307
0;0,63956034
0;0,5189591
1;0,117960766
0;0,13927342
1;0,53332776
0;0,08588813
1;0,58171165
0;0,11611831
0;0,4147082
0;0,4450872
0;0,5235899
0;0,14737062
1;0,80014133
0;0,41238886
1;0,973937
1;0,9379755
0;0,08588813
0;0,45744878
0;0,40563467
0;0,18950132
1;0,61483395
0;0,33235428
1;0,7816021
0;0,6838091
0;0,5331541
0;0,112660006
0;0,53332776
1;0,8289369
0;0,4119158
0;0,6406774
0;0,57248616
0;0,11611831
0;0,13971515
0;0,19763032
0;0,38799253
1;0,65394413
1;0,41314998
1;0,9532493
0;0,54050225
0;0,116664566
1;0,72133017
0;0,2923746
0;0,52517223
0;0,552412
0;0,5057847
0;0,7705064
1;0,696446
1;0,6352536
0;0,19244607
0;0,28386647
0;0,2832815
0;0,8064445
0;0,7607782
0;0,42519906
0;0,6512502
0;0,11611831
0;0,19228831
1;0,72638047
0;0,29312232
1;0,12839337
0;0,65304923
0;0,3288865
0;0,804354
0;0,37380883
0;0,612496
0;0,5648973
0;0,8330137
0;0,5481585
0;0,4980513
0;0,11611831
1;0,6980813
0;0,6569252
1;0,56697845
0;0,20323707
0;0,71370745
1;0,8093754
1;0,4752322
1;0,11611831
0;0,643598
1;0,87245196
0;0,11611831
0;0,19228831
0;0,13711134
0;0,22614363
0;0,5119759
1;0,49252853
0;0,11350967
0;0,31889722
0;0,5553367
0;0,5079807
0;0,18950132
1;0,16984881
0;0,5332101
0;0,2896022
0;0,6404904
1;0,78353816
0;0,15438068
0;0,6527885
1;0,46013066
0;0,5253955
1;0,8046116
0;0,116664566
1;0,5352848
1;0,69631016
0;0,5728583
0;0,6482797
0;0,50338256
0;0,8906766
1;0,51610804
0;0,28702345
0;0,14864169
0;0,19228831
1;0,7764091
0;0,20323707
0;0,15398146
1;0,39179695
0;0,15438068
1;0,62761325
1;0,5648973
0;0,42510673
0;0,12839337
0;0,61440176
0;0,5134637
0;0,5702163
1;0,5976897
0;0,6169064
0;0,18950132
0;0,5673943
0;0,45308697
0;0,49252853
0;0,117265776
0;0,5551649
0;0,11611831
0;0,117265776
0;0,44879535
0;0,60999864
1;0,6320921
1;0,64681834
1;0,6203783
0;0,56297743
1;0,5950913
1;0,858561
1;0,45011607
0;0,6436847
0;0,5633036
0;0,5415036
1;0,94093955
1;0,35092416
1;0,72272044
1;0,3948713
0;0,21003617
0;0,5112247
0;0,19763032
1;0,8580683
1;0,79202217
0;0,3165802
0;0,12306303
0;0,8726682
0;0,43904877
0;0,63709897
1;0,9498167
1;0,6550517
1;0,8132145
0;0,45116863
0;0,08402705
0;0,78071475
0;0,29707858
