Feature,Importance
total_trafico,0.33955896
origen_contacto,0.1153725
origen_negociacion,0.075668104
organic_search,0.056045428
cc,0.04417369
dif_days_group,0.03717829
showroom,0.036561716
campaign_cod,0.033510827
codigo_exposicion,0.02660129
PRODUCT_CODE_TRAFICO,0.02512611
cod_oferta,0.024643129
codigo_producto,0.024455078
codigo_tienda,0.022345666
identificador_oferta,0.021013943
codigo_concesionario_origen,0.020804513
vendedor_codificado_final,0.02079997
Max_Mosaic_G,0.020708326
channel_max,0.020335296
paid_search_group,0.017745085
config,0.017352084
