precio_total,margen,codigo_modelo_codificado,total_ventas
"18348,11","0,12300000183284282",43N79V23I13F47O31K79V41M89X47O,36926
"19779,52","0,12300000183284282",43N79V23I13G47O31K53P41M89X47O,16184
"18720,66","0,12300000183284282",37L31K71T10C47O31K13G7D10C43N,13620
"18093,64","0,12300000183284282",43N61R2A83W47O31K83W13H10C43N,13324
24034,"0,14759999670088292",73U37L23I83W47O31K10C41M10C43N,7314
"13216,53","0,11070000439882278",43N83W29J31K47O31K19I41M101Z47O,6458
"24387,87","0,14759999670088292",73U79V7D37L47O31K83W41M89X47O,6294
"24885,95","0,12300000183284282",43N53P17B13F47O37L37L,5950
"22841,15","0,14759999670088292",73U37L23I83W47O31K53P41M10C43N,5772
"19410,74","0,12300000183284282",43N61R11E41M47O31K71T41M89X47O,5290
"23852,89","0,12300000183284282",43N53P17B13F47O31K17G,5038
"25664,21","0,14759999670088292",73U17B19H31K47O31K19I41M10C43N,4598
"24018,18","0,12300000183284282",43N59Q73U29J47O37L31K10C41M10C,4558
"23195,03","0,14759999670088292",73U79V7D37L47O31K103A41M89X47O,4352
"19525,05","0,12300000183284282",43N61R2A101Z47O31K73U13H10C43N,4188
"20014,05","0,12300000183284282",43N61R2A11D47O31K71T13H10C43N,3862
"21613,22","0,12300000183284282",37L31K47O17B47O31K43N7D10C43N,3790
"24630,42","0,14759999670088292",73U37L23I11D47O31K59Q41M10C43N,3460
"17389,86","0,12300000183284282",43N79V23I13F47O31K73U13H10C43N,3426
"25823,26","0,14759999670088292",73U37L23I11D47O31K10C41M10C43N,3300
"19258,65","0,12300000183284282",43N47O13F89X47O31K53P,3292
"19183,1","0,12300000183284282",43N79V23I13F47O31K101Z41M89X47O,3230
"15960,33","0,11070000439882278",43N31K43N13F47O31K13F,2970
"18993,04","0,12300000183284282",43N47O101Z10C47O31K13G41M101Z47O,2932
"23298,41","0,12300000183284282",43N59Q31K83W47O31K59Q10C41M10C,2776
"24381,82","0,12300000183284282",37L43N89X53P47O37L59Q,2654
"20034,71","0,12300000183284282",37L31K43N61R47O31K79V7D10C43N,2406
"13547,11","0,11070000439882278",43N83W29J31K47O31K19I41M89X47O,2272
"26161,23","0,12300000183284282",43N53P17B19H47O31K23I,2172
"24018,18","0,12300000183284282",43N59Q73U29J47O37L31K71T31K89X,2022
"21753,72","0,12300000183284282",37L43N83W13G47O31K23I,2004
